the_geom,ID,CATEGORY,VENDORNAME,WEBSITE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,TELEPHONE,CONTACT,CONTACTEMA,TYPED,CAMERAICON,BOROUGH,BCODE,HOUSENUM,STREETNAME
POINT (-73.9856543196193 40.744407845271205),421,Hotels,The Carlton Madison Avenue,http://www.carltonhotelny.com,88 Madison Avenue,,New York,NY,10016,(212) 532-4100,Jill Lieblein,jlieblein@carltonhotelny.com,,,Manhattan,1,88,MADISON AVENUE
POINT (-73.99688556211083 40.744313149800206),422,Hotels,The Chelsea Hotel,http://www.hotelchelsea.com,222 West 23rd Street,,New York,NY,10011,(212) 243-3700,Arnold Tamasar,atamasar@hotelchelsea.com,,yes,Manhattan,1,222,WEST 23 STREET
POINT (-73.98271741027655 40.77137782133335),423,Hotels,The Empire Hotel,http://www.empirehotelnyc.com,44 West 63rd Street,,New York,NY,10023,(212) 765-4201,Robert Turner,robert@empirehotelnyc.com,,yes,Manhattan,1,44,WEST 63 STREET
POINT (-73.95478228095433 40.77979110017688),424,Hotels,The Franklin Hotel,http://www.franklinhotel.com,164 East 87th Street,,New York,NY,10128,(212) 369-1000,Tomas Montalvo,tmontalvo@franklinhotel.com,,,Manhattan,1,164,EAST 87 STREET
POINT (-73.97259011161526 40.754704291051745),425,Hotels,The Helmsley Middletowne Hotel,http://www.helmsleyhotels.com,148 East 48th Street,,New York,NY,10017,(212) 755-3000 x6743,Lorenz Henry,Mhsales@helmsleyhotels.com,,,Manhattan,1,148,EAST 48 STREET
POINT (-73.98192734969018 40.75586716138522),426,Hotels,The Iroquois New York,http://www.iroquoisny.com,49 West 44th Street,,New York,NY,10036,(212) 453-4003,Alicia Turula,aturula@iroquoisny.com,,,Manhattan,1,49,WEST 44 STREET
POINT (-73.97034233805782 40.760808046306366),427,Hotels,The Lombardy,http://www.lombardyhotel.com,111 East 56th Street,,New York,NY,10022,(212) 753-8600 x4029,Werner Hoefer,whoefer@lombardyhotel.com,,,Manhattan,1,111,EAST 56 STREET
POINT (-73.98039202290474 40.76335273479667),428,Hotels,The London NYC,http://www.thelondonnyc.com,151 West 54th Street,,New York,NY,10019,(212) 307-5000,Andrea Amico,aamico@luxuryresorts.com,,yes,Manhattan,1,151,WEST 54 STREET
POINT (-73.98110462893763 40.75502164749343),429,Hotels,The Mansfield Hotel,http://www.mansfieldhotel.com,12 West 44th Street,,New York,NY,10036,(212) 277-8700,Laura Tsoumas,laura@mansfieldhotel.com,,,Manhattan,1,12,WEST 44 STREET
POINT (-73.98772194586584 40.74834731824523),430,Hotels,The Martinique,http://www.martiniqueonbroadway.com,49 West 32nd Street,,New York,NY,10001,(212) 277-2647,Lynn Chan,lchan@themartinique.com,,,Manhattan,1,49,WEST 32 STREET
POINT (-73.96619652758443 40.76440251765003),431,Hotels,The Melrose Hotel New York,http://www.melrosehotel.com,140 East 63rd Street,,New York,NY,10021,(212) 715-6978,Esther Barbosa,no email,,,Manhattan,1,140,EAST 63 STREET
POINT (-73.98378576153506 40.75779150435786),432,Hotels,The Muse Hotel,http://www.themusehotel.com,130 West 46th Street,,New York,NY,10036,(212) 485-2708,Lucy Shulman,lucy.shulman@themusehotel.com,,yes,Manhattan,1,130,WEST 46 STREET
POINT (-73.98315346708314 40.774509632651),433,Hotels,The Phillips Club,http://www.phillipsclub.com,155 West 66th Street,,New York,NY,10023,(212) 835-8800,Angela Pettersen,no email,,,Manhattan,1,155,WEST 66 STREET
POINT (-73.97603700879269 40.76499784896579),434,Hotels,The Ritz Carlton,http://www.ritzcarlton.com,50 Central Park South,,New York,NY,10019,(212) 521-6197,Barbara A. McCann,Barbara.Mccann@ritzcarlton.com,,,Manhattan,1,50,CENTRAL PARK SOUTH
POINT (-74.01749999200705 40.705665680236805),435,Hotels,The Ritz Carlton-Battery Park,http://www.ritzcarlton.com,Two West Street,,New York,NY,10004,(917) 790-2414,Barbara A. McCann,Barbara.Mccann@ritzcarlton.com,,,Manhattan,1,2,WEST STREET
POINT (-73.97729288737797 40.754650849207565),436,Hotels,The Roosevelt Hotel,http://www.theroosevelthotel.com,45 East 45th Street,,New York,NY,10017,(212) 885-6019,Christa Treitmeier,no email,,,Manhattan,1,45,EAST 45 STREET
POINT (-73.98550683974209 40.76097289196167),437,Hotels,The Time Hotel,http://www.thetimeny.com,224 West 49th Street,,New York,NY,10019,(212) 320-2928,Brendan McNamara,bmcnamara@dreamny.com,,,Manhattan,1,224,WEST 49 STREET
POINT (-73.97811358364679 40.76243467226633),438,Hotels,The Warwick New York,http://www.warwickhotels.com,65 West 54th Street,,New York,NY,10019,(212) 314-7727,Ruban Schwarte,no email,,,Manhattan,1,65,WEST 54 STREET
POINT (-73.98852046596109 40.722088345447254),439,Hotels,Thompson LES,http://www.thompsonhotels.com,190 Allen Street,,New York,NY,10022,(212) 460-5300,Christine Alicea,salesLES@thompsonhotels.com,,,Manhattan,1,190,ALLEN STREET
POINT (-74.00477272370678 40.71937699705184),440,Hotels,Tribeca Grand Hotel,http://www.tribecagrand.com,2 Avenue of the Americas,,New York,NY,10013,(212) 519-6641,Renay Sobel,no email,,,Manhattan,1,2,AVENUE OF THE AMERICAS
POINT (-73.9720458431849 40.749218579840054),441,Hotels,Tudor Hotel at the United Nations,http://www.tudorhotelny.com,304 East 42nd Street,,New York,NY,10017,(212) 297-3519,Alicia Nunez,anunez@tudorhotelny.com,,,Manhattan,1,304,EAST 42 STREET
POINT (-73.97228635867106 40.75605463266998),442,Hotels,W New York,http://www.whotels.com,541 Lexington Avenue,,New York,NY,10022,(212) 592-8873,Rochelle Wilson,rochelle.wilson@whotels.com,,yes,Manhattan,1,541,LEXINGTON AVENUE
POINT (-73.97772052842159 40.74948593229006),443,Hotels,W New York - The Court,http://www.whotels.com,130 East 39th Street,,New York,NY,10016,(212) 592-8873,Rochelle Wilson,rochelle.wilson@whotels.com,,yes,Manhattan,1,130,EAST 39 STREET
POINT (-73.97824410867914 40.74963594928329),444,Hotels,W New York - The Tuscany,http://www.whotels.com,120 East 39th Street,,New York,NY,10016,(212) 592-8873,Rochelle Wilson,rochelle.wilson@whotels.com,,yes,Manhattan,1,120,EAST 39 STREET
POINT (-73.98546599540988 40.75938955918428),445,Hotels,W New York - Times Square,http://www.whotels.com,1567 Broadway,,New York,NY,10036,(212) 592-8873,Rochelle Wilson,rochelle.wilson@whotels.com,,yes,Manhattan,1,1567,BROADWAY
POINT (-73.9886095915889 40.73668286974425),446,Hotels,W New York - Union Square,http://www.whotels.com,201 Park Avenue South,,New York,NY,10003,(212) 592-8873,Rochelle Wilson,rochelle.wilson@whotels.com,,yes,Manhattan,1,201,PARK AVENUE SOUTH
POINT (-73.97334736927678 40.7565022765482),447,Hotels,Waldorf Astoria,http://www.waldorf.com,301 Park Avenue,,New York,NY,10028,(212) 872-1209,Anton Moore,anton.moore@hilton.com,,yes,Manhattan,1,301,PARK AVENUE
POINT (-74.00710916040886 40.7079037736822),448,Hotels,Wall Street District Hotel,http://www.wallstreetdistrict.com,15 Gold Street,,New York,NY,10038,(212) 232-7700,Christine Anderson,canderson@wallstreetdistrict.com,,,Manhattan,1,15,GOLD STREET
POINT (-73.98689254779775 40.76319904458199),449,Hotels,WJ Hotel,http://www.wjhotel.com,318 West 51st Street,,New York,NY,10036,(212) 277-8312,Rachelle Schwarzenberg,rachelle@wjhotel.com,,,Manhattan,1,318,WEST 51 STREET
POINT (-73.97167973398737 40.765087437009555),450,Hotels,"The Pierre, A Taj Hotel",http://www.tajhotels.com/pierre,2 East 61st Street,,New York,NY,10065,(212) 838-8000,Peter DElia,Peter.Delia@tajhotels.com,,yes,Manhattan,1,2,EAST 61 STREET
POINT (-73.97448615932778 40.761242707481),451,Hotels,The St. Regis New York,http://www.stregis.com,2 East 55th Street,,New York,NY,10022,(212) 350-8600,Kristen Albert,kristen.albert@stregis.com,,yes,Manhattan,1,2,EAST 55 STREET
POINT (-73.99286759479291 40.756603950667795),452,Hotels,Distrikt Hotel,http://www.distrikthotel.com,342 West 40th Street,,New York,NY,10018,(917) 923-2960,Lisa Younes-Powers,lyounespowers@distrikthotel.com,,yes,Manhattan,1,342,WEST 40 STREET
POINT (-73.98457389021101 40.76802675707462),453,Hotels,Hudson Hotel,http://www.hudsonhotel.com,356 West 58th Street,,New York,NY,10019,(212) 554-6106,Jennifer Kaplan,jennifer.kaplan@morganshotelgroup.com,,,Manhattan,1,356,WEST 58 STREET
POINT (-73.98628340786786 40.7586893596806),454,Hotels,New York Marriott Marquis,http://www.nymarriottmarquis.com,1535 Broadway,,New York,NY,10036,(212) 704-8737,Judy Tang,judy.tang@marriott.com,,,Manhattan,1,1535,BROADWAY
POINT (-73.85415463724713 40.754574052984374),455,Hotels,Ramada Plaza,http://www.ramada.com,37-10 114th Street,LaGuardia Airport,Corona,NY,11368,(718) 651-2100,Sales Director,no email,,,Queens,4,Oct-37,114 STREET
POINT (-73.87582298563493 40.76949792932257),456,Hotels,The Clarion Hotel at LaGuardia Airport,http://www.clarionlaguardia.com,9400 Ditmars Blvd.,,East Elmherst,NY,11369,(718) 335-1200,David Wang,no email,,,Queens,4,94-00,DITMARS BOULEVARD
POINT (-73.86708717853247 40.767226513883834),457,Hotels,Crowne Plaza at LaGuardia Airport,http://www.cplaguardia.com/,104-04 Ditmars Blvd,,East Elmhurst,NY,11369,(718) 269-1724,Kathryn Pettit,kpettit@cplga.com,,,Queens,4,104-04,DITMARS BOULEVARD
POINT (-73.86763450392101 40.76793528745188),458,Hotels,Hampton Inns and Suites-LaGuardia Airport New York,http://www.hilton.com,102-40 Ditmars Blvd,,East Elmhurst,NY,11369,(718) 269-1724,Kathleen Pettit,kpettit@cplga.com,,,Queens,4,102-40,DITMARS BOULEVARD
POINT (-73.8793940776915 40.76917509787118),459,Hotels,New York LaGuardia Airport Marriot,http://www.nycmarriott.com,90-10 Grand Central Parkway,,East Elmhurst,NY,11396,(212) 704-8737,Judy Tang,judy.tang@marriott.com,,,Queens,4,Oct-90,GRAND CENTRAL PARKWAY
POINT (-73.86967332370027 40.77024319629774),460,Hotels,Wyndham Garden,http://www.wyndhamnewyorkhotels.com,100-15 Ditmars Blvd.,Hotel at LaGuardia Airport,East Elmhurst,NY,11369,(718) 565-3351,Denise DiFranco,no email,,,Queens,4,100-15,DITMARS BOULEVARD
POINT (-73.80481922995055 40.664080081542345),461,Hotels,Ramada Plaza JFK,http://www.ramada.com,"JFK Airport, Building #144",,Jamaica,NY,11430,(718) 995-9000,Rene Pereira,no email,,,Queens,4,,JFK AIRPORT BUILDING #144
POINT (-73.93657848690795 40.736272819698705),462,Hotels,Fairfield Inn by Marriott New York Long Island City/Manhattan View,http://www.fairfieldinnnyc.com,52-34 Van Dam Street,,Long Island City,NY,11101,(718) 389-7700,Jeffrey Reich-Hale,jeffrey.r.hale@marriott.com,,yes,Queens,4,52-34,VAN DAM STREET
POINT (-73.79848706042782 40.66733820211641),463,Hotels,Doubletree Hotel JFK Airport,http://www.jfkairport.doubletree.com,135-40 140th Street,,Queens,NY,11436,(718) 322-5569,,,,,Queens,4,135-40,140 STREET
POINT (-74.15775389241841 40.61328750266171),464,Hotels,Staten Island Hotel,http://www.statenislandhotel.com,1415 Richmond Avenue,,Staten Island,NY,10314,(718) 698-5000 x1746,April Fodor,no email,,,Staten Island,5,1415,RICHMOND AVENUE
POINT (-73.99814580536729 40.717170293377215),477,Jewelry,195 Dragon Jewelry,,195 Canal Street,,New York,NY,10013,(212) 226-4166,Harole Ha,no email,,,Manhattan,1,195,CANAL STREET
POINT (-73.9982463987081 40.73292520240922),478,Jewelry,Cassioppia,http://www.andromeda-nyc.com,38 West 8th Street,,New York,NY,10011,(212) 979-9652,Bianca,???,,,Manhattan,1,38,WEST 8 STREET
POINT (-73.97420837127267 40.75352871968571),951,Food&Restaurants,Baja Fresh,http://www.bajafresh.com,465 Lexington Avenue,,New York,NY,10017,(212) 599-2252,Eddie Chen,edchen@bajafreshnyc.com,,yes,Manhattan,1,465,LEXINGTON AVENUE
POINT (-73.98702154355044 40.75492713801697),952,Food & Restaurants,Baja Fresh,http://www.bajafresh.com,1441 Broadway,,New York,NY,10018,(212) 764-9084,Eddie Chen,edchen@bajafreshnyc.com,,yes,Manhattan,1,1441,BROADWAY
POINT (-73.76204331574291 40.739260337881916),953,"Camera, Grip & Lighting","Black Dog Jib Productions, Inc",http://www.BlackDogJib.com,211-10 73rd Avenue,Suite 2A,Bayside,NY,11364,(718) 974-4770,Adam Troeger,JibRentals@BlackDogJib.com,,,Queens,4,211-10,73 AVENUE
POINT (-73.89297053244015 40.81315151493924),956,"Moving, Storage & Trailers",California New York Express Moving,http://www.moveeast.com,1160 Worthen Street,,Bronx,NY,10474,(888) 680-7200,Roni Klatner,cs@moveeast.com,,yes,Bronx,2,1160,WORTHEN STREET
POINT (-73.99976287178181 40.747918767363835),957,Casting & Talent,Casting Solutions,http://www.castingsolutions.tv,365 West 25th Street,#17G,New York,NY,10001,(212) 875-7573,Liz Ortiz-Mackes,castsolutions@gmail.com,,,Manhattan,1,365,WEST 25 STREET
POINT (-73.97651965247425 40.752137241466095),480,Jewelry,Christi Sothers Fine Jewelry and Art,http://www.christisothers.com,109 East 42nd Street,,New York,NY,10017,(212) 697-2674,Steven Levy,sothers@aol.com,,yes,Manhattan,1,109,EAST 42 STREET
POINT (-73.99695901697405 40.71631115859088),481,Jewelry,Foo Sing Jewelry,http://www.cathayjewelrynyc.com,162 Canal Street,,New York,NY,10013,(212) 406-2116,Christa Lan / John Chiu (Manager),no email,,,Manhattan,1,162,CANAL STREET
POINT (-74.01315071610166 40.70807341666956),482,Jewelry,Greenwich Jewelers,http://www.greenwichjewelers.com,64 Trinity Place,,New York,NY,10006,(212) 964-7592,Jennifer Gandia,info@greenwichjewelers.com,,,Manhattan,1,64,TRINITY PLACE
POINT (-73.98084768484209 40.75736836315226),483,Jewelry,Jack of Diamonds Jewelers Internatioal,http://www.jackofdiamondsintl.com,52 West 47th Street,,New York,NY,10036,(212) 869-7272,Jack Grant,no email,,,Manhattan,1,52,WEST 47 STREET
POINT (-73.98058469539153 40.75562540507152),484,Jewelry,Jean Silversmith,http://www.jeansilversmiths.com,16 West 45th Street,,New York,NY,10036,(212) 575-0727,David Shaw,jeans@jeanssilversmiths.com,,,Manhattan,1,16,WEST 45 STREET
POINT (-73.9892927605297 40.72048273582756),485,Jewelry,Le Roi Manhattan / Le Roi Inc.,http://www.leroimanhattan.com,80 Rivington Street,,New York,NY,10002,(212) 253-6402,Tammy Wilkinson,tammy@leroi.com,,yes,Manhattan,1,80,RIVINGTON STREET
POINT (-73.88970917526889 40.818859586830634),487,Location & Rental Space,Studio 889,http://www.studio889.org,889 Hunts Point Avenue,,Bronx,NY,10474,(718) 620-2824,Alejandra C. Delfin,alejandrac.delfin@gmail.com,,yes,Bronx,2,889,HUNTS POINT AVENUE
POINT (-73.89884783961871 40.86055737675354),488,Location & Rental Space,The Paradise Theater,http://www.theparadisetheater.com,2413 Grand Concourse,,Bronx,NY,10468,(646) 660-2537,Luz Mejia,luzjmejia@verizon.net; infoparadisetheater@gmail.com,,yes,Bronx,2,2413,GRAND CONCOURSE
